,Suburb,Address,Rooms,Type,Method,SellerG,Date
10591,Watsonia,18 Papua St,3,h,S,Barry,22/05/2016
10592,Watsonia,3/8 Herbert St,2,t,S,Stockdale,23/04/2016
10593,Watsonia,295 Greenwood Dr,3,h,S,Barry,24/09/2016
10594,Watsonia,2/21 Meagher St,2,h,S,Barry,24/09/2016
10595,Watsonia,4 Papua St,3,h,S,Buckingham,24/09/2016
10596,Watsonia,49 Wattle Dr,3,h,S,Barry,24/09/2016
10597,Watsonia,1 Elder St,3,h,PI,Darren,25/02/2017
10598,Watsonia,14 Illoura St,3,h,S,Darren,27/06/2016
10599,Watsonia,2/5 Marilyn Ct,3,u,S,Darren,27/06/2016
10600,Watsonia,1/6 Wattle Dr,2,u,S,Miles,27/11/2016
10601,Watsonia,3 Dunn St,2,h,PI,Barry,28/05/2016
10602,Watsonia,28 Papua St,2,h,S,Barry,28/05/2016
10603,Watsonia,5 Princes St,3,h,S,Ray,28/08/2016
10604,Watsonia,25 Grace St,3,h,SN,Barry,30/07/2016
10605,Watsonia,36 Powley Pde,3,h,S,Barry,30/07/2016
10606,West Melbourne,44 Anderson St,3,t,S,Jellis,3/09/2016
10607,West Melbourne,1004/58 Jeffcott St,3,u,S,MICM,3/12/2016
10608,West Melbourne,115 Abbotsford St,3,h,S,Alexkarbon,4/06/2016
10609,West Melbourne,302/118 Dudley St,1,u,W,Pagan,4/06/2016
10610,West Melbourne,10/18 Ireland St,1,u,PI,Nelson,4/06/2016
10611,West Melbourne,306/145 Roden St,2,u,PI,Edward,4/06/2016
10612,West Melbourne,96 Roden St,3,h,S,Alexkarbon,4/06/2016
10613,West Melbourne,8/115 Stanley St,2,t,VB,Nelson,6/08/2016
10614,West Melbourne,9/24 Ireland St,1,u,S,Nelson,7/05/2016
10615,West Melbourne,108/33 Jeffcott St,3,u,PI,hockingstuart,7/05/2016
10616,West Melbourne,1/44 Chetwynd street,2,u,S,Collins,7/11/2016
10617,West Melbourne,2/212 Roden St,2,t,S,Jellis,8/10/2016
10618,West Melbourne,6/234 Roden St,3,t,SP,Nelson,10/12/2016
10619,West Melbourne,410/118 Dudley St,1,u,PI,Greg,14/05/2016
10620,West Melbourne,47 Hawke St,5,h,SN,W.B.,14/05/2016
10621,West Melbourne,24 Franklin Pl,3,t,PI,Jellis,15/10/2016
10622,West Melbourne,38/28 Jeffcott St,4,u,S,MICM,17/09/2016
10623,West Melbourne,304/162 Rosslyn St,2,u,PN,Rombotis,18/03/2017
10624,West Melbourne,9/561 Spencer St,3,u,S,Alexkarbon,18/03/2017
10625,West Melbourne,6/40 Batman St,3,t,PI,Caine,18/06/2016
10626,West Melbourne,34 Eades Pl,3,h,SP,Nelson,22/08/2016
10627,West Melbourne,209/5 Stawell St,1,u,S,Nelson,24/09/2016
10628,West Melbourne,7/88 Ireland St,3,t,S,Jellis,25/02/2017
10629,West Melbourne,3/28 Jeffcott St,2,u,SP,Woodards,25/02/2017
10630,West Melbourne,11/24 Ireland St,1,u,SP,Nelson,26/07/2016
10631,West Melbourne,5/467 King St,2,u,S,Jellis,28/05/2016
10632,West Melbourne,44 Miller St,4,h,S,Brad,28/05/2016
10633,West Melbourne,19/33 Jeffcott St,3,u,S,MICM,30/07/2016
10634,Williamstown,4 Freyer St,4,h,S,hockingstuart,3/09/2016
10635,Williamstown,46 Pasco St,4,h,S,Gunn&Co,3/09/2016
10636,Williamstown,8 Pope Pl,3,h,SP,Sweeney,3/09/2016
10637,Williamstown,54 Twyford St,3,h,S,Greg,3/09/2016
10638,Williamstown,2/20 Victoria St,3,u,S,Gunn&Co,3/12/2016
10639,Williamstown,35 Chandler St,4,h,PI,hockingstuart,4/03/2017
10640,Williamstown,43B Cole St,3,h,VB,Raine,4/03/2017
10641,Williamstown,8 Long St,2,h,S,Sweeney,4/03/2017
10642,Williamstown,22 Station Rd,2,h,SP,Greg,4/03/2017
10643,Williamstown,19 Verdon St,4,h,SP,Greg,4/03/2017
10644,Williamstown,56 Verdon St,3,h,SP,Greg,4/03/2017
10645,Williamstown,7 Victoria St,4,h,S,Williams,4/03/2017
10646,Williamstown,110 Bayview St,3,h,S,RT,4/06/2016
10647,Williamstown,27a Perry St,4,h,S,Sweeney,4/06/2016
10648,Williamstown,64 Twyford St,4,h,S,RT,4/06/2016
10649,Williamstown,25 Anzac Cr,2,h,SP,Greg,6/08/2016
10650,Williamstown,74 Thompson St,4,h,S,RT,6/08/2016
10651,Williamstown,12 McGuire Cr,3,h,S,Williams,7/05/2016
10652,Williamstown,98 Osborne St,3,h,S,Greg,7/05/2016
10653,Williamstown,8/99 Verdon St,1,u,SP,Sweeney,7/05/2016
10654,Williamstown,20 Bates Dr,3,h,S,Williams,7/11/2016
10655,Williamstown,28 Council La,3,h,SP,Greg,7/11/2016
10656,Williamstown,8/29 Dover Rd,1,u,PN,Raine,7/11/2016
10657,Williamstown,19 Perry St,3,h,S,Greg,7/11/2016
10658,Williamstown,13/8 The Strand,2,t,SP,Greg,7/11/2016
10659,Williamstown,19/8 The Strand,2,t,SP,Greg,7/11/2016
10660,Williamstown,17 Station Rd,4,h,S,Greg,8/10/2016
10661,Williamstown,73 Victoria St,4,h,PI,Sweeney,8/10/2016
10662,Williamstown,17 Yarra St,3,h,S,Jas,8/10/2016
10663,Williamstown,33 Hannan St,4,h,S,Greg,10/09/2016
10664,Williamstown,22 Bayview St,3,t,S,Greg,10/12/2016
10665,Williamstown,164 Coogee La,5,h,SP,Sweeney,10/12/2016
10666,Williamstown,5/28 Hanmer St,2,u,SN,Sweeney,10/12/2016
10667,Williamstown,3 Hosking Ct,3,h,S,Jas,10/12/2016
10668,Williamstown,14 Illawarra St,2,h,S,RT,10/12/2016
10669,Williamstown,2b Mariner St,3,h,SN,Raine,10/12/2016
10670,Williamstown,73 Victoria St,4,h,SP,Village,11/03/2017
10671,Williamstown,112 Crofton Dr,4,h,S,Williams,12/11/2016
10672,Williamstown,5 Railway Pl,3,h,PI,Sweeney,12/11/2016
10673,Williamstown,20 Proctor St,3,h,S,Raine,13/08/2016
10674,Williamstown,5/72 Dover Rd,2,u,S,Williams,14/05/2016
10675,Williamstown,5/77 Dover Rd,2,u,S,RT,14/05/2016
10676,Williamstown,102 John St,2,h,S,Jas,15/10/2016
10677,Williamstown,24/18 Station Rd,2,u,S,Greg,15/10/2016
10678,Williamstown,22 Burbidge Dr,3,h,SP,Compton,16/04/2016
10679,Williamstown,71 Hannan St,4,h,S,Greg,16/04/2016
10680,Williamstown,46 Illawarra St,3,h,SN,Greg,16/04/2016
10681,Williamstown,169 Nelson Pl,3,h,S,Rodney,16/04/2016
10682,Williamstown,16 Princes St,4,h,SP,Raine&Horne,16/04/2016
10683,Williamstown,21a Station Rd,3,t,SP,Sweeney,16/04/2016
10684,Williamstown,16 Merrett Dr,4,h,SP,Ray,16/07/2016
10685,Williamstown,16 Oconnell Mw,3,h,SP,Williams,16/07/2016
10686,Williamstown,200 Osborne St,5,h,SP,Greg,16/07/2016
10687,Williamstown,53 Thompson St,3,h,SP,Sweeney,16/07/2016
10688,Williamstown,18 James St,2,h,SA,Hunter,17/09/2016
10689,Williamstown,1 Laverton St,2,h,VB,Greg,17/09/2016
10690,Williamstown,4/54 Yarra St,2,u,SP,Williams,17/09/2016
10691,Williamstown,79 Aitken St,3,h,S,Greg,18/03/2017
10692,Williamstown,45 Albert St,2,h,S,RT,18/06/2016
10693,Williamstown,26 Collins St,3,h,S,Williams,19/11/2016
10694,Williamstown,6 Crofton Dr,3,h,SN,Williams,19/11/2016
10695,Williamstown,4/77 Dover Rd,2,u,SN,RT,19/11/2016
10696,Williamstown,1 Lenore Cr,3,h,SN,Williams,19/11/2016
10697,Williamstown,24 Merrett Dr,4,h,S,Village,19/11/2016
10698,Williamstown,175 Douglas Pde,3,h,S,Sweeney,22/05/2016
10699,Williamstown,104 Hannan St,4,h,S,Sweeney,22/05/2016
10700,Williamstown,116a Hannan St,3,h,PI,Sweeney,22/05/2016
10701,Williamstown,33 Cecil St,3,h,S,Sweeney,24/09/2016
10702,Williamstown,105 Dover Rd,4,t,SP,Gunn&Co,24/09/2016
10703,Williamstown,6/13 Dover Rd,2,u,S,RT,24/09/2016
10704,Williamstown,2 Heriot Pl,3,h,SN,Williams,24/09/2016
10705,Williamstown,2/4 Lyons St,2,u,SP,Greg,24/09/2016
10706,Williamstown,10 Alma Tce,2,h,SN,Sweeney,25/02/2017
10707,Williamstown,29 Bates Dr,3,h,S,Sweeney,25/02/2017
10708,Williamstown,120 Cecil St,5,h,SN,Greg,25/02/2017
10709,Williamstown,5 Ellery La,3,t,S,Sweeney,25/02/2017
10710,Williamstown,26A Macquarie St,3,h,S,Williams,25/02/2017
10711,Williamstown,77 Melbourne Rd,3,h,S,Williams,25/02/2017
10712,Williamstown,9/99 Melbourne Rd,2,u,SP,Williams,25/02/2017
10713,Williamstown,81 Parker St,2,h,SP,Raine,25/02/2017
10714,Williamstown,2 Pope Pl,3,t,SP,Sweeney,25/02/2017
10715,Williamstown,8 Radford St,4,h,VB,Greg,25/02/2017
10716,Williamstown,18A Rennie St,2,h,S,RT,25/02/2017
10717,Williamstown,50 Thompson St,4,h,S,Greg,25/02/2017
10718,Williamstown,24 John St,2,h,S,Jas,26/07/2016
10719,Williamstown,166 Cecil St,3,h,SP,Gunn&Co,27/06/2016
10720,Williamstown,118 Hannan St,3,h,S,Sweeney,27/06/2016
10721,Williamstown,19 MacLean St,4,h,PI,Sweeney,27/06/2016
10722,Williamstown,44 Parker St,3,h,SP,Williams,27/06/2016
10723,Williamstown,139 Cecil St,4,h,S,Raine,27/11/2016
10724,Williamstown,233 Nelson Pl,4,h,S,Sweeney,27/11/2016
10725,Williamstown,68 Osborne St,3,h,SP,RT,27/11/2016
10726,Williamstown,42 Pasco St,4,h,S,RT,27/11/2016
10727,Williamstown,11 Sandpiper Pl,4,h,S,Sweeney,27/11/2016
10728,Williamstown,2/125 Ferguson St,1,u,S,Williams,28/05/2016
10729,Williamstown,14 Osborne St,4,h,SP,Greg,28/05/2016
10730,Williamstown,5 Dover La,3,h,S,RT,28/08/2016
10731,Williamstown,8 Freyer St,4,h,SN,Williams,30/07/2016
10732,Williamstown North,4/4 Florence St,2,t,VB,Village,3/09/2016
10733,Williamstown North,10 Eliza Cl,4,h,S,Greg,3/12/2016
10734,Williamstown North,22 Park Cr,3,h,SP,Sweeney,3/12/2016
10735,Williamstown North,5/7 Park Cr,2,u,SP,Jas,3/12/2016
10736,Williamstown North,4/29 Champion Rd,2,u,SP,Compton,8/10/2016
10737,Williamstown North,37 Champion Rd,5,h,SP,Sweeney,8/10/2016
10738,Williamstown North,10/68 Kororoit Creek Rd,1,u,S,Williams,10/09/2016
10739,Williamstown North,8/46 Kororoit Creek Rd,2,u,SP,Williams,11/03/2017
10740,Williamstown North,3 Myrtle St,4,h,SP,Sweeney,13/08/2016
10741,Williamstown North,42 Park Cr,2,h,SA,Barlow,16/04/2016
10742,Williamstown North,12/29 Champion Rd,2,u,PI,Greg,18/06/2016
10743,Williamstown North,26 Walter St,4,h,SP,Williams,19/11/2016
10744,Williamstown North,13/68 Kororoit Creek Rd,2,u,S,Sweeney,24/09/2016
10745,Williamstown North,4/9 Adeline St,1,u,S,Sweeney,27/11/2016
10746,Williamstown North,18 Inglis St,3,h,SP,Raine,27/11/2016
10747,Windsor,207/152 Peel St,2,u,VB,Jellis,3/09/2016
10748,Windsor,56 Henry St,3,h,VB,Marshall,3/12/2016
10749,Windsor,1/14 The Avenue,3,u,S,Marshall,3/12/2016
10750,Windsor,8 Eastbourne St,3,h,SN,Biggin,4/03/2017
10751,Windsor,344 High St,3,h,S,Marshall,4/03/2017
10752,Windsor,54a Hornby St,2,h,S,Marshall,4/03/2017
10753,Windsor,47 James St,3,h,SN,Biggin,4/03/2017
10754,Windsor,39 McIlwrick St,4,h,PI,Marshall,4/03/2017
10755,Windsor,1/60 McIlwrick St,2,u,S,Hodges,4/03/2017
10756,Windsor,146 Punt Rd,3,h,SP,hockingstuart,4/03/2017
10757,Windsor,52 The Avenue,4,h,S,Jellis,4/03/2017
10758,Windsor,6/213 Dandenong Rd,2,u,S,hockingstuart,6/08/2016
10759,Windsor,4/12 Ellesmere Rd,2,u,S,Fletchers,7/05/2016
10760,Windsor,17/25 Williams Rd,1,u,VB,Gary,7/05/2016
10761,Windsor,33 Earl St,2,h,S,Marshall,7/11/2016
10762,Windsor,7b Nathan Pl,3,h,S,Biggin,7/11/2016
10763,Windsor,15 Albert St,3,h,SN,hockingstuart,8/10/2016
10764,Windsor,9/11 Wrexham Rd,2,u,S,hockingstuart,8/10/2016
10765,Windsor,115 Albert St,3,h,S,Paul,10/09/2016
10766,Windsor,5/9 Williams Rd,2,u,PI,Tim,10/09/2016
10767,Windsor,10/205 Dandenong Rd,2,u,PI,Biggin,10/12/2016
10768,Windsor,14 Earl St,3,h,SP,Marshall,10/12/2016
10769,Windsor,5 Earl St,2,h,SN,hockingstuart,10/12/2016
10770,Windsor,6/7 Ellesmere Rd,1,u,S,Fletchers,10/12/2016
10771,Windsor,8/5 The Avenue,3,u,S,hockingstuart,10/12/2016
10772,Windsor,9/58 The Avenue,1,u,S,Beller,10/12/2016
10773,Windsor,6/10 Wrexham Rd,1,u,S,Marshall,11/02/2017
10774,Windsor,13/14 Newry St,2,u,PI,hockingstuart,13/08/2016
10775,Windsor,40/174 Peel St,1,u,SP,Marshall,14/05/2016
10776,Windsor,87 Peel St,2,h,S,hockingstuart,14/05/2016
10777,Windsor,23 Raleigh St,4,h,SN,hockingstuart,14/05/2016
10778,Windsor,106/233 Dandenong Rd,1,u,VB,Ray,15/10/2016
10779,Windsor,4/11 Lewisham Rd,2,u,PI,Biggin,15/10/2016
10780,Windsor,23 Victoria St,2,h,S,Jellis,16/04/2016
10781,Windsor,6/28 The Avenue,2,u,S,Thomson,16/07/2016
10782,Windsor,7/8 The Avenue,1,u,PI,Noel,16/07/2016
10783,Windsor,1/43 Williams Rd,2,u,VB,hockingstuart,16/07/2016
10784,Windsor,2/4 Mary St,3,t,SN,Gary,17/09/2016
10785,Windsor,9 Newry St,3,h,S,hockingstuart,17/09/2016
10786,Windsor,9/16 Lewisham Rd,1,u,SP,Biggin,18/03/2017
10787,Windsor,3/11 Lincoln Pl,2,h,PI,Marshall,18/03/2017
10788,Windsor,1a Primrose St,4,h,S,Biggin,18/03/2017
10789,Windsor,10/27 Lewisham Rd,2,u,S,Biggin,18/06/2016
10790,Windsor,54a Lewisham Rd,3,h,S,Jellis,18/06/2016
10791,Windsor,94 Union St,2,h,S,Biggin,18/06/2016
10792,Windsor,15 Williams Rd,4,h,SN,Jellis,18/06/2016
10793,Windsor,50 Andrew St,2,h,S,Jellis,19/11/2016
10794,Windsor,1/300 High St,3,u,S,hockingstuart,19/11/2016
10795,Windsor,46/174 Peel St,2,u,SP,Jellis,19/11/2016
10796,Windsor,7/23 The Avenue,1,u,VB,Beller,19/11/2016
10797,Windsor,6/23 The Avenue,1,u,VB,hockingstuart,22/05/2016
10798,Windsor,11/5 The Avenue,2,u,S,Beller,22/08/2016
10799,Windsor,3/45 Williams Rd,2,u,SP,hockingstuart,24/09/2016
10800,Windsor,45 Hornby St,2,h,PI,Marshall,25/02/2017
10801,Windsor,12/29 Upton Rd,2,u,S,hockingstuart,26/07/2016
10802,Windsor,50 Lewisham Rd,3,h,S,Marshall,27/06/2016
10803,Windsor,4 Erica St,2,h,S,Kay,27/11/2016
10804,Windsor,76 Lewisham Rd,3,h,S,hockingstuart,27/11/2016
10805,Windsor,49 McIlwrick St,3,h,S,Marshall,27/11/2016
10806,Windsor,17/231 Dandenong Rd,1,u,S,hockingstuart,28/05/2016
10807,Windsor,22/17 Ellesmere Rd,2,u,VB,McGrath,28/05/2016
10808,Windsor,11a Erica St,3,h,SN,Biggin,28/05/2016
10809,Windsor,1/24 Green St,3,h,S,Biggin,28/05/2016
10810,Windsor,19 Newry St,3,h,S,Jellis,28/05/2016
10811,Windsor,22 Stewart St,2,u,S,RT,28/05/2016
10812,Windsor,8/15 Wrexham Rd,2,u,S,Biggin,28/05/2016
10813,Windsor,5/243 Dandenong Rd,2,u,PI,Kay,28/08/2016
10814,Windsor,8/14 Newry St,2,u,S,Beller,28/08/2016
10815,Windsor,118 Peel St,3,h,S,hockingstuart,28/08/2016
10816,Windsor,31 Raleigh St,2,h,S,Jellis,28/08/2016
10817,Windsor,77 Raleigh St,3,h,S,Marshall,28/08/2016
10818,Yallambie,27 Aminya Cr,3,h,S,Darren,3/09/2016
10819,Yallambie,11 Tarcoola Dr,4,h,S,Barry,3/09/2016
10820,Yallambie,8 Ovata Cl,4,h,S,Barry,4/03/2017
10821,Yallambie,40 Allima Av,4,h,S,Buckingham,7/05/2016
10822,Yallambie,16 Lowan Av,3,h,S,Buckingham,7/11/2016
10823,Yallambie,4 Aminya Cr,3,h,PI,Nelson,10/12/2016
10824,Yallambie,70 Tarcoola Dr,3,h,S,Buckingham,10/12/2016
10825,Yallambie,267 Yallambie Rd,3,h,S,Barry,11/02/2017
10826,Yallambie,1/6 Aminya Cr,2,u,SN,Miles,13/08/2016
10827,Yallambie,340 Yallambie Rd,3,h,S,Ray,13/08/2016
10828,Yallambie,4 Coleen St,3,h,S,Barry,15/10/2016
10829,Yallambie,36 Longacres Rd,4,h,S,Fletchers,15/10/2016
10830,Yallambie,5 Kurdian Ct,4,h,S,Barry,16/07/2016
10831,Yallambie,2 Debra Ct,3,h,S,hockingstuart,17/09/2016
10832,Yallambie,341 Yallambie Rd,4,h,SP,Nelson,17/09/2016
10833,Yallambie,342 Yallambie Rd,4,h,S,Barry,18/03/2017
10834,Yallambie,4 Melliodora Pl,3,h,S,hockingstuart,18/06/2016
10835,Yallambie,21 Bimbadeen Cr,3,h,S,Buckingham,19/11/2016
10836,Yallambie,5 Crew St,3,h,S,Miles,19/11/2016
10837,Yallambie,38 Allima Av,3,h,S,Barry,22/05/2016
10838,Yallambie,23 Cascades Vw,3,h,VB,Darren,22/08/2016
10839,Yallambie,27 Longacres Rd,4,h,SN,Barry,23/04/2016
10840,Yallambie,252 Yallambie Rd,3,h,S,Buckingham,24/09/2016
10841,Yallambie,5 Binalong Ct,3,h,S,Barry,25/02/2017
10842,Yallambie,27 Ovata Cl,3,h,S,Buckingham,26/07/2016
10843,Yallambie,33 Fahey Cr,3,h,S,Fletchers,27/11/2016
10844,Yallambie,17 Marigolds Rd,3,h,S,Darren,27/11/2016
10845,Yallambie,5 Amanda Ct,3,h,S,Barry,28/08/2016
10846,Yarraville,62 Bena St,4,h,SP,Jas,3/09/2016
10847,Yarraville,13 Benbow St,3,h,S,Jas,3/09/2016
10848,Yarraville,2/5 Jepson St,2,u,PI,hockingstuart,3/09/2016
10849,Yarraville,6 Sanderson St,2,h,SP,Village,3/09/2016
10850,Yarraville,40 Tarrengower St,2,h,SP,Jas,3/09/2016
10851,Yarraville,83 Tarrengower St,3,h,S,Village,3/09/2016
10852,Yarraville,94 Ballarat St,3,h,S,Jas,3/12/2016
10853,Yarraville,4 Finlay St,4,h,S,Village,3/12/2016
10854,Yarraville,7/87 Gamon St,3,h,VB,Jas,3/12/2016
10855,Yarraville,160 Hyde St,3,h,S,Jas,3/12/2016
10856,Yarraville,1/194 Hyde St,3,h,S,Village,3/12/2016
10857,Yarraville,3/27 Stephen St,2,t,VB,Jas,3/12/2016
10858,Yarraville,41 Sussex St,3,h,SP,Jas,3/12/2016
10859,Yarraville,147 Williamstown Rd,3,h,S,Jas,3/12/2016
10860,Yarraville,29 Newcastle St,2,h,S,hockingstuart,4/02/2016
10861,Yarraville,60 Adeney St,3,h,S,Sweeney,4/03/2017
10862,Yarraville,76 Bishop St,4,h,SP,Jas,4/03/2017
10863,Yarraville,16A Gordon Pde,3,t,PI,Jas,4/03/2017
10864,Yarraville,1/11 Goulburn St,2,h,S,Village,4/03/2017
10865,Yarraville,5 Hood St,2,h,VB,Village,4/03/2017
10866,Yarraville,13 Pearce St,2,h,S,Chisholm,4/03/2017
10867,Yarraville,109 Powell St,3,h,S,Jas,4/03/2017
10868,Yarraville,13 Simpson St,3,h,VB,Village,4/03/2017
10869,Yarraville,7/88 Stephen St,2,u,S,hockingstuart,4/03/2017
10870,Yarraville,34 Wilkins St,3,h,S,Douglas,4/03/2017
10871,Yarraville,6 Clarendon St,3,h,S,Village,4/06/2016
10872,Yarraville,1a Court St,2,h,SP,Jas,4/06/2016
10873,Yarraville,3 Cuming St,2,h,S,Greg,4/06/2016
10874,Yarraville,40 Freeman St,3,h,VB,Village,4/06/2016
10875,Yarraville,25 Gray St,4,h,S,Jas,4/06/2016
10876,Yarraville,8 Gray St,3,h,S,Jas,4/06/2016
10877,Yarraville,101 Roberts St,3,h,S,hockingstuart,4/06/2016
10878,Yarraville,8 Ofarrell St,3,h,SN,hockingstuart,6/08/2016
10879,Yarraville,1/53 Stephen St,2,u,PI,hockingstuart,6/08/2016
10880,Yarraville,3/247 Williamstown Rd,3,h,S,Burnham,6/08/2016
10881,Yarraville,31 Frederick St,4,h,SP,Village,7/05/2016
10882,Yarraville,98 Powell St,4,h,SP,Greg,7/05/2016
10883,Yarraville,8/230 Williamstown Rd,2,t,SP,Sweeney,7/05/2016
10884,Yarraville,30 Court St,4,h,SN,Village,7/11/2016
10885,Yarraville,11 Eirene St,4,h,SP,Village,7/11/2016
10886,Yarraville,27 Regent St,3,h,S,Jas,7/11/2016
10887,Yarraville,47 Bayview Rd,5,h,S,Village,8/10/2016
10888,Yarraville,2/8 Hughes St,2,h,PI,Jas,8/10/2016
10889,Yarraville,66 Severn St,4,h,SP,Village,8/10/2016
10890,Yarraville,50 Tongue St,4,h,S,Sweeney,8/10/2016
10891,Yarraville,60 Hamilton St,4,h,S,Village,10/09/2016
10892,Yarraville,3/107 Somerville Rd,2,u,VB,Jas,10/09/2016
10893,Yarraville,8 Knox St,3,h,SP,Jas,10/12/2016
10894,Yarraville,24 Ovens St,3,h,SP,Sweeney,10/12/2016
10895,Yarraville,44 Severn St,3,h,S,Jas,10/12/2016
10896,Yarraville,121 Simpson St,2,h,SP,hockingstuart,10/12/2016
10897,Yarraville,57 Tarrengower St,2,h,SP,Jas,10/12/2016
10898,Yarraville,18 Free St,3,h,S,Jas,11/02/2017
10899,Yarraville,122 Stephen St,1,u,SP,hockingstuart,11/02/2017
10900,Yarraville,9/51 Stephen St,2,u,PI,Jas,11/02/2017
10901,Yarraville,113 Anderson St,3,t,S,Sweeney,12/11/2016
10902,Yarraville,52 Goulburn St,3,h,SP,Jas,12/11/2016
10903,Yarraville,63 Hawkhurst St,3,h,S,Village,12/11/2016
10904,Yarraville,122 Stephen St,1,h,PI,Jas,12/11/2016
10905,Yarraville,280 Francis St,3,h,S,Jas,13/08/2016
10906,Yarraville,7/13 Stephen St,2,u,SP,Sweeney,13/08/2016
10907,Yarraville,2/255 Wlliamstown Rd,2,u,SP,Hunter,13/08/2016
10908,Yarraville,33 Berry St,2,h,SN,Village,14/05/2016
10909,Yarraville,28 Cranbrook St,3,h,SP,Village,14/05/2016
10910,Yarraville,317 Francis St,3,h,SN,Barry,14/05/2016
10911,Yarraville,9 Stanger St,3,h,S,Greg,14/05/2016
10912,Yarraville,203/109 Anderson St,2,u,SP,Jas,15/10/2016
10913,Yarraville,27 Buninyong St,3,h,PI,Greg,15/10/2016
10914,Yarraville,41 Gent St,4,h,SN,Barry,15/10/2016
10915,Yarraville,1a Kingston St,2,h,SP,Jas,15/10/2016
10916,Yarraville,64 Bishop St,3,h,S,hockingstuart,16/04/2016
10917,Yarraville,4/16 Dean St,3,t,VB,iOne,16/04/2016
10918,Yarraville,117 Francis St,4,h,PI,Sweeney,16/04/2016
10919,Yarraville,342 Francis St,3,h,S,Sweeney,16/04/2016
10920,Yarraville,5/69 Hamilton St,1,u,S,hockingstuart/Village,16/04/2016
10921,Yarraville,3/1 Jepson St,2,t,SP,Sweeney,16/04/2016
10922,Yarraville,25 Norfolk St,3,h,SP,Village,16/04/2016
10923,Yarraville,9 Pearce St,3,h,S,Jellis,16/04/2016
10924,Yarraville,11 Sanderson St,2,h,S,Sweeney,16/04/2016
10925,Yarraville,21 Ballard St,3,t,PN,hockingstuart,16/07/2016
10926,Yarraville,71 Bena St,2,h,S,Jas,16/07/2016
10927,Yarraville,29 Frederick St,4,h,S,Village,16/07/2016
10928,Yarraville,12 Freeman St,4,h,S,Village,16/07/2016
10929,Yarraville,59 Gent St,3,h,S,Sweeney,16/07/2016
10930,Yarraville,282 Hyde St,3,h,VB,hockingstuart,16/07/2016
10931,Yarraville,103/58 Ballarat St,1,u,S,Sweeney,17/09/2016
10932,Yarraville,17 Banool Av,3,h,S,Sweeney,17/09/2016
10933,Yarraville,136 Hyde St,4,h,S,hockingstuart,17/09/2016
10934,Yarraville,73 Bayview Rd,3,h,SP,Compton,18/03/2017
10935,Yarraville,14 Lennox St,3,h,PI,Jas,18/03/2017
10936,Yarraville,55 Ofarrell St,3,h,VB,Village,18/03/2017
10937,Yarraville,9 Richards St,3,h,S,Jas,18/03/2017
10938,Yarraville,58 Stanger St,3,h,SN,hockingstuart,18/03/2017
10939,Yarraville,7 Stewart St,4,h,VB,Village,18/03/2017
10940,Yarraville,1/364 Williamstown Rd,2,t,S,Jas,18/03/2017
10941,Yarraville,52 Severn St,3,h,SP,Jas,18/06/2016
10942,Yarraville,347 Williamstown Rd,3,h,S,Jas,18/06/2016
10943,Yarraville,15 Ofarrell St,4,h,S,Village,19/11/2016
10944,Yarraville,2/382 Williamstown Rd,2,h,S,Jas,19/11/2016
10945,Yarraville,12 Burns St,3,h,SP,Jas,22/05/2016
10946,Yarraville,129 Roberts St,5,h,S,hockingstuart,22/05/2016
10947,Yarraville,7/156 Francis St,2,t,PI,hockingstuart,22/08/2016
10948,Yarraville,198 Francis St,4,h,S,hockingstuart,22/08/2016
10949,Yarraville,3/5 Jepson St,2,u,SP,hockingstuart,22/08/2016
10950,Yarraville,18 Frederick St,3,h,S,hockingstuart,23/04/2016
10951,Yarraville,2 Hood St,4,h,S,Jas,23/04/2016
10952,Yarraville,51 Sussex St,3,h,S,RT,23/04/2016
10953,Yarraville,9/11 Berry St,3,h,S,Village,24/09/2016
10954,Yarraville,3 Freame St,3,h,SP,Village,24/09/2016
10955,Yarraville,443 Geelong Rd,3,h,S,Sweeney,24/09/2016
10956,Yarraville,43 Ballarat St,2,h,S,Jas,25/02/2017
10957,Yarraville,37 Buninyong St,3,h,PI,Village,25/02/2017
10958,Yarraville,42 Eirene St,2,h,S,Sweeney,25/02/2017
10959,Yarraville,14 Finlay St,4,h,S,Village,25/02/2017
10960,Yarraville,112 Francis St,2,h,S,Village,25/02/2017
10961,Yarraville,20 Grace St,3,h,S,Village,25/02/2017
10962,Yarraville,23 Lennox St,3,h,SP,Village,25/02/2017
10963,Yarraville,38 Simpson St,3,h,SP,Village,25/02/2017
10964,Yarraville,122 Blackwood St,4,h,SP,Jas,26/07/2016
10965,Yarraville,75 Ballard St,4,h,PI,Village,27/06/2016
10966,Yarraville,7 Banool Av,3,h,S,Village,27/06/2016
10967,Yarraville,38 Benbow St,2,h,S,Hunter,27/06/2016
10968,Yarraville,117 Francis St,4,h,PI,hockingstuart/Sweeney,27/06/2016
10969,Yarraville,76 Kidman St,3,h,PI,Biggin,27/06/2016
10970,Yarraville,46 Wilson St,3,h,S,hockingstuart,27/06/2016
10971,Yarraville,23 Castlemaine St,3,h,S,Village,27/11/2016
10972,Yarraville,5 Highgate St,3,h,S,JMRE,27/11/2016
10973,Yarraville,282 Hyde St,4,h,PI,Barry,27/11/2016
10974,Yarraville,3/64 Powell St,2,u,SP,Jas,27/11/2016
10975,Yarraville,4 Regent St,4,h,VB,Jas,27/11/2016
